Var,Base,x,y,color,size,slider,label,desc,group,tipo,categoria
level_2,MapBiomas,FALSE,FALSE,FALSE,FALSE,FALSE,level_2,Atividade realizada ou descrição da cobertura natural,MapBiomas,Texto,Ambiente
level_3,MapBiomas,FALSE,FALSE,FALSE,FALSE,FALSE,level_3,Detalhes do que cobre a área,MapBiomas,Texto,Ambiente
level_4,MapBiomas,FALSE,FALSE,FALSE,FALSE,FALSE,level_4,Detalhes adicionais,MapBiomas,Texto,Ambiente
Area,MapBiomas,FALSE,FALSE,FALSE,FALSE,FALSE,Area,Área do território descrito,MapBiomas,ha,Ambiente
data,MapBiomas,TRUE,FALSE,FALSE,FALSE,TRUE,Ano,Ano,Geral,Data,Ambiente
Ano,COMEX,TRUE,FALSE,FALSE,FALSE,TRUE,Ano,Ano,Geral,Data,Economia
Mêss,COMEX,TRUE,FALSE,FALSE,FALSE,TRUE,Mês,Mês,Geral,Data,Economia
Código Nomentaclatura Comum do Mercosul,COMEX,FALSE,FALSE,FALSE,FALSE,FALSE,Código Nomentaclatura Comum do Mercosul,Código Mercosul do tipo de mercadoria,COMEX,Inteiro,Economia
Código da Unidade Estatística,COMEX,FALSE,FALSE,FALSE,FALSE,FALSE,Código da Unidade Estatística,Código Mercosul da unidade de medida utilizada para medir a mercadoria,COMEX,Inteiro,Economia
Código do país,COMEX,TRUE,TRUE,FALSE,FALSE,FALSE,Código do país,Código do país,COMEX,Inteiro,Economia
Sigla da Unidade da Federação exportadora,COMEX,TRUE,TRUE,FALSE,FALSE,FALSE,Sigla da Unidade da Federação exportadora,Estado (UF),Geral,Texto,Economia
Código da via de Transporte,COMEX,TRUE,TRUE,FALSE,FALSE,FALSE,Código da via de Transporte,Meio de transporte da mercadoria,COMEX,Inteiro,Economia
Código da Unidade da Receita Federal,COMEX,FALSE,FALSE,FALSE,FALSE,FALSE,Código da Unidade da Receita Federal,Código da Unidade da Receita Federal,COMEX,Inteiro,Economia
Quantidade Estatística,COMEX,TRUE,TRUE,FALSE,FALSE,FALSE,Quantidade Estatística,Quantidade em termos da unidade de medida utilizada,COMEX,Inteiro,Economia
Quantidade em Kg Líquidos,COMEX,TRUE,TRUE,FALSE,FALSE,FALSE,Quantidade em Kg Líquidos,Quantidade em Kg Líquidos,COMEX,Kg,Economia
Valor Free on Board,COMEX,FALSE,FALSE,FALSE,FALSE,FALSE,Valor Free on Board,Valor sem frete incluso no custo do exportador,COMEX,Inteiro,Economia
Código Sistema Harmonizado,COMEX,FALSE,FALSE,FALSE,FALSE,FALSE,Código Sistema Harmonizado,Código SH4 do tipo de mercadoria,COMEX,Inteiro,Economia
Código Município do Domicílio Fiscal,COMEX,FALSE,FALSE,FALSE,FALSE,FALSE,Código IBGE do município,Código IBGE do município,Geral,Inteiro,Economia
Estado,DEGRAD,TRUE,FALSE,FALSE,FALSE,FALSE,Estado,Estado (UF),Geral,Texto,Ambiente
Ano,DEGRAD,FALSE,FALSE,FALSE,FALSE,FALSE,Ano,Ano,Geral,Inteiro,Ambiente
CodIBGE,DEGRAD,FALSE,FALSE,FALSE,FALSE,FALSE,Código IBGE do município,Código IBGE do município,Geral,Inteiro,Ambiente
Municipio,DEGRAD,FALSE,FALSE,FALSE,FALSE,FALSE,Município,Município,Geral,Texto,Ambiente
Mes,DEGRAD,TRUE,FALSE,FALSE,FALSE,TRUE,Mês,Mês,Geral,Data,Ambiente
Degradacao,DEGRAD,TRUE,TRUE,TRUE,TRUE,FALSE,Degradacao,Área degradada,DEGRAD,m2,Ambiente
CodIBGE,PIB-Munic,FALSE,FALSE,FALSE,FALSE,FALSE,Código IBGE do município,Código IBGE do município,Geral,Inteiro,Economia
Município,PIB-Munic,FALSE,FALSE,FALSE,FALSE,FALSE,Município,Município,Geral,Texto,Economia
Ano,PIB-Munic,TRUE,FALSE,FALSE,FALSE,TRUE,Ano,Ano,Geral,Data,Economia
PIB,PIB-Munic,TRUE,TRUE,TRUE,TRUE,FALSE,PIB,"PIB a preços correntes, em R$",PIB-Munic,Inteiro,Economia
Pop,PIB-Munic,TRUE,TRUE,TRUE,TRUE,FALSE,População,População do município,PIB-Munic,Inteiro,Economia
PIBpc,PIB-Munic,TRUE,TRUE,TRUE,TRUE,FALSE,PIBpc,PIB per capita,PIB-Munic,Número,Economia
