municipality_mapbiomas,code_muni
Ulianopolis,1508126
Uruara,1508159
Vigia,1508209
Viseu,1508308
Vitoria do Xingu,1508357
Xinguara,1508407
Serra do Navio,1600055
Amapa,1600105
Pedra Branca do Amapari,1600154
Calcoene,1600204
Cutias,1600212
Ferreira Gomes,1600238
Itaubal,1600253
Laranjal do Jari,1600279
Macapa,1600303
Mazagao,1600402
Oiapoque,1600501
Porto Grande,1600535
Pracuuba,1600550
Santana,1600600
Tartarugalzinho,1600709
Vitoria do Jari,1600808
Abreulandia,1700251
Aguiarnopolis,1700301
Alianca do Tocantins,1700350
Almas,1700400
Alvorada,1700707
Ananas,1701002
Angico,1701051
Aparecida do Rio Negro,1701101
Aragominas,1701309
Araguacema,1701903
Araguacu,1702000
Araguaina,1702109
Araguana,1702158
Araguatins,1702208
Arapoema,1702307
Arraias,1702406
Augustinopolis,1702554
Aurora do Tocantins,1702703
Axixa do Tocantins,1702901
Babaculandia,1703008
Bandeirantes do Tocantins,1703057
Barra do Ouro,1703073
Barrolandia,1703107
Bernardo Sayao,1703206
Bom Jesus do Tocantins,1703305
Brasilandia do Tocantins,1703602
Brejinho de Nazare,1703701
Buriti do Tocantins,1703800
Cachoeirinha,1703826
Campos Lindos,1703842
Cariri do Tocantins,1703867
Carmolandia,1703883
Carrasco Bonito,1703891
Caseara,1703909
Centenario,1704105
Chapada de Areia,1704600
Chapada da Natividade,1705102
Colinas do Tocantins,1705508
Combinado,1705557
Conceicao do Tocantins,1705607
Couto Magalhaes,1706001
Cristalandia,1706100
Crixas do Tocantins,1706258
Darcinopolis,1706506
Dianopolis,1707009
Divinopolis do Tocantins,1707108
Dois Irmaos do Tocantins,1707207
Duere,1707306
Esperantina,1707405
Fatima,1707553
Figueiropolis,1707652
Filadelfia,1707702
Formoso do Araguaia,1708205
Tabocao,1708254
Goianorte,1708304
Goiatins,1709005
Guarai,1709302
Gurupi,1709500
Ipueiras,1709807
Itacaja,1710508
Itaguatins,1710706
Itapiratins,1710904
Itapora do Tocantins,1711100
Jau do Tocantins,1711506
Juarina,1711803
Lagoa da Confusao,1711902
Lagoa do Tocantins,1711951
Lajeado,1712009
Lavandeira,1712157
Lizarda,1712405
Luzinopolis,1712454
Marianopolis do Tocantins,1712504
Mateiros,1712702
Maurilandia do Tocantins,1712801
Miracema do Tocantins,1713205
Miranorte,1713304
Monte do Carmo,1713601
Monte Santo do Tocantins,1713700
Palmeiras do Tocantins,1713809
Muricilandia,1713957
Natividade,1714203
Nazare,1714302
Nova Olinda,1714880
Nova Rosalandia,1715002
Novo Acordo,1715101
Novo Alegre,1715150
Novo Jardim,1715259
Oliveira de Fatima,1715507
Palmeirante,1715705
Palmeiropolis,1715754
Paraiso do Tocantins,1716109
Parana,1716208
Pau D'Arco,1716307
Pedro Afonso,1716505
Peixe,1716604
Pequizeiro,1716653
Colmeia,1716703
Pindorama do Tocantins,1717008
Piraque,1717206
Pium,1717503
Ponte Alta do Bom Jesus,1717800
Ponte Alta do Tocantins,1717909
Porto Alegre do Tocantins,1718006
Porto Nacional,1718204
Praia Norte,1718303
Presidente Kennedy,1718402
Pugmil,1718451
Recursolandia,1718501
Riachinho,1718550
Rio da Conceicao,1718659
Rio dos Bois,1718709
Rio Sono,1718758
Sampaio,1718808
Sandolandia,1718840
Santa Fe do Araguaia,1718865
Santa Maria do Tocantins,1718881
Santa Rita do Tocantins,1718899
Santa Rosa do Tocantins,1718907
Santa Tereza do Tocantins,1719004
Santa Terezinha do Tocantins,1720002
Sao Bento do Tocantins,1720101
Sao Felix do Tocantins,1720150
Sao Miguel do Tocantins,1720200
Sao Salvador do Tocantins,1720259
Sao Sebastiao do Tocantins,1720309
Sao Valerio,1720499
Silvanopolis,1720655
Sitio Novo do Tocantins,1720804
Sucupira,1720853
Taguatinga,1720903
Taipas do Tocantins,1720937
Talisma,1720978
Palmas,1721000
Tocantinia,1721109
Tocantinopolis,1721208
Tupirama,1721257
Tupiratins,1721307
Wanderlandia,1722081
Xambioa,1722107
Acailandia,2100055
Afonso Cunha,2100105
Agua Doce do Maranhao,2100154
Alcantara,2100204
Aldeias Altas,2100303
Altamira do Maranhao,2100402
Alto Alegre do Maranhao,2100436
Alto Alegre do Pindare,2100477
Alto Parnaiba,2100501
Amapa do Maranhao,2100550
Amarante do Maranhao,2100600
Anajatuba,2100709
Anapurus,2100808
Apicum-Acu,2100832
Araguana,2100873
Araioses,2100907
Arame,2100956
Arari,2101004
Axixa,2101103
Bacabal,2101202
Bacabeira,2101251
Bacuri,2101301
Bacurituba,2101350
Balsas,2101400
Barao de Grajau,2101509
Barra do Corda,2101608
Barreirinhas,2101707
Belagua,2101731
Bela Vista do Maranhao,2101772
Benedito Leite,2101806
Bequimao,2101905
Bernardo do Mearim,2101939
Boa Vista do Gurupi,2101970
Bom Jardim,2102002
Bom Jesus das Selvas,2102036
Bom Lugar,2102077
Brejo,2102101
Brejo de Areia,2102150
Buriti,2102200
Buriti Bravo,2102309
Buriticupu,2102325
Buritirana,2102358
Cachoeira Grande,2102374
Cajapio,2102408
Cajari,2102507
Campestre do Maranhao,2102556
Candido Mendes,2102606
Cantanhede,2102705
Capinzal do Norte,2102754
Carolina,2102804
Carutapera,2102903
Caxias,2103000
Cedral,2103109
Central do Maranhao,2103125
Centro do Guilherme,2103158
Centro Novo do Maranhao,2103174
Chapadinha,2103208
Cidelandia,2103257
Codo,2103307
Coelho Neto,2103406
Colinas,2103505
Conceicao do Lago-Acu,2103554
Coroata,2103604
Cururupu,2103703
Davinopolis,2103752
Dom Pedro,2103802
Duque Bacelar,2103901
Esperantinopolis,2104008
Estreito,2104057
Feira Nova do Maranhao,2104073
Fernando Falcao,2104081
Formosa da Serra Negra,2104099
Fortaleza dos Nogueiras,2104107
Fortuna,2104206
Godofredo Viana,2104305
Goncalves Dias,2104404
Governador Archer,2104503
Governador Edison Lobao,2104552
Governador Eugenio Barros,2104602
Governador Luiz Rocha,2104628
Governador Newton Bello,2104651
Governador Nunes Freire,2104677
Graca Aranha,2104701
Grajau,2104800
Guimaraes,2104909
Humberto de Campos,2105005
Icatu,2105104
Igarape do Meio,2105153
Igarape Grande,2105203
Imperatriz,2105302
Itaipava do Grajau,2105351
Itapecuru Mirim,2105401
Itinga do Maranhao,2105427
Jatoba,2105450
Jenipapo dos Vieiras,2105476
Joao Lisboa,2105500
Joselandia,2105609
Junco do Maranhao,2105658
Lago da Pedra,2105708
Lago do Junco,2105807
Lago Verde,2105906
Lagoa do Mato,2105922
Lago dos Rodrigues,2105948
Lagoa Grande do Maranhao,2105963
Lajeado Novo,2105989
Lima Campos,2106003
Loreto,2106102
Luis Domingues,2106201
Magalhaes de Almeida,2106300
Maracacume,2106326
Maraja do Sena,2106359
Maranhaozinho,2106375
Mata Roma,2106409
Matinha,2106508
Matoes,2106607
Matoes do Norte,2106631
Milagres do Maranhao,2106672
Mirador,2106706
Miranda do Norte,2106755
Mirinzal,2106805
Moncao,2106904
Montes Altos,2107001
Morros,2107100
Nina Rodrigues,2107209
Nova Colinas,2107258
Nova Iorque,2107308
Nova Olinda do Maranhao,2107357
Olho d'Agua das Cunhas,2107407
Olinda Nova do Maranhao,2107456
Paco do Lumiar,2107506
Palmeirandia,2107605
Paraibano,2107704
Parnarama,2107803
Passagem Franca,2107902
Pastos Bons,2108009
Paulino Neves,2108058
Paulo Ramos,2108108
Pedreiras,2108207
Pedro do Rosario,2108256
Penalva,2108306
Peri Mirim,2108405
Peritoro,2108454
Pindare-Mirim,2108504
Pinheiro,2108603
Pio XII,2108702
Pirapemas,2108801
Pocao de Pedras,2108900
Porto Franco,2109007
Porto Rico do Maranhao,2109056
Presidente Dutra,2109106
Presidente Juscelino,2109205
Presidente Medici,2109239
Presidente Sarney,2109270
Presidente Vargas,2109304
Primeira Cruz,2109403
Raposa,2109452
Riachao,2109502
Ribamar Fiquene,2109551
Rosario,2109601
Sambaiba,2109700
Santa Filomena do Maranhao,2109759
Santa Helena,2109809
Santa Ines,2109908
Santa Luzia,2110005
Santa Luzia do Parua,2110039
Santa Quiteria do Maranhao,2110104
Santa Rita,2110203
Santana do Maranhao,2110237
Santo Amaro do Maranhao,2110278
Santo Antonio dos Lopes,2110302
Sao Benedito do Rio Preto,2110401
Sao Bento,2110500
Sao Bernardo,2110609
Sao Domingos do Azeitao,2110658
Sao Domingos do Maranhao,2110708
Sao Felix de Balsas,2110807
Sao Francisco do Brejao,2110856
Sao Francisco do Maranhao,2110906
Sao Joao Batista,2111003
Sao Joao do Caru,2111029
Sao Joao do Paraiso,2111052
Sao Joao do Soter,2111078
Sao Joao dos Patos,2111102
Sao Jose de Ribamar,2111201
Sao Jose dos Basilios,2111250
Sao Luis,2111300
Sao Luis Gonzaga do Maranhao,2111409
Sao Mateus do Maranhao,2111508
Sao Pedro da Agua Branca,2111532
Sao Pedro dos Crentes,2111573
Sao Raimundo das Mangabeiras,2111607
Sao Raimundo do Doca Bezerra,2111631
Sao Roberto,2111672
Sao Vicente Ferrer,2111706
Satubinha,2111722
Senador Alexandre Costa,2111748
Senador La Rocque,2111763
Serrano do Maranhao,2111789
Sitio Novo,2111805
Sucupira do Norte,2111904
Sucupira do Riachao,2111953
Tasso Fragoso,2112001
Timbiras,2112100
Timon,2112209
Trizidela do Vale,2112233
Tufilandia,2112274
Tuntum,2112308
Turiacu,2112407
Turilandia,2112456
Tutoia,2112506
Urbano Santos,2112605
Vargem Grande,2112704
Viana,2112803
Vila Nova dos Martirios,2112852
Vitoria do Mearim,2112902
Vitorino Freire,2113009
Ze Doca,2114007
Acaua,2200053
Agricolandia,2200103
Agua Branca,2200202
Alagoinha do Piaui,2200251
Alegrete do Piaui,2200277
Alto Longa,2200301
Altos,2200400
Alvorada do Gurgueia,2200459
Amarante,2200509
Angical do Piaui,2200608
Anisio de Abreu,2200707
Antonio Almeida,2200806
Aroazes,2200905
Aroeiras do Itaim,2200954
Arraial,2201002
Assuncao do Piaui,2201051
Avelino Lopes,2201101
Baixa Grande do Ribeiro,2201150
Barra D'Alcantara,2201176
Barras,2201200
Barreiras do Piaui,2201309
Barro Duro,2201408
Batalha,2201507
Bela Vista do Piaui,2201556
Belem do Piaui,2201572
Beneditinos,2201606
Bertolinia,2201705
Betania do Piaui,2201739
Boa Hora,2201770
Bocaina,2201804
Bom Jesus,2201903
Bom Principio do Piaui,2201919
Bonfim do Piaui,2201929
Boqueirao do Piaui,2201945
Brasileira,2201960
Brejo do Piaui,2201988
Buriti dos Lopes,2202000
Buriti dos Montes,2202026
Cabeceiras do Piaui,2202059
Cajazeiras do Piaui,2202075
Cajueiro da Praia,2202083
Caldeirao Grande do Piaui,2202091
Campinas do Piaui,2202109
Campo Alegre do Fidalgo,2202117
Campo Grande do Piaui,2202133
Campo Largo do Piaui,2202174
Campo Maior,2202208
Canavieira,2202251
Canto do Buriti,2202307
Capitao de Campos,2202406
Capitao Gervasio Oliveira,2202455
Caracol,2202505
Caraubas do Piaui,2202539
Caridade do Piaui,2202554
Castelo do Piaui,2202604
Caxingo,2202653
Cocal,2202703
Cocal de Telha,2202711
Cocal dos Alves,2202729
Coivaras,2202737
Colonia do Gurgueia,2202752
Colonia do Piaui,2202778
Conceicao do Caninde,2202802
Coronel Jose Dias,2202851
Corrente,2202901
Cristalandia do Piaui,2203008
Cristino Castro,2203107
Curimata,2203206
Currais,2203230
Curralinhos,2203255
Curral Novo do Piaui,2203271
Demerval Lobao,2203305
Dirceu Arcoverde,2203354
Dom Expedito Lopes,2203404
Domingos Mourao,2203420
Dom Inocencio,2203453
Elesbao Veloso,2203503
Eliseu Martins,2203602
Esperantina,2203701
Fartura do Piaui,2203750
Flores do Piaui,2203800
Floresta do Piaui,2203859
Floriano,2203909
Francinopolis,2204006
Francisco Ayres,2204105
Francisco Macedo,2204154
Francisco Santos,2204204
Fronteiras,2204303
Geminiano,2204352
Gilbues,2204402
Guadalupe,2204501
Guaribas,2204550
Hugo Napoleao,2204600
Ilha Grande,2204659
Inhuma,2204709
Ipiranga do Piaui,2204808
Isaias Coelho,2204907
Itainopolis,2205003
Itaueira,2205102
Jacobina do Piaui,2205151
Jaicos,2205201
Jardim do Mulato,2205250
Jatoba do Piaui,2205276
Jerumenha,2205300
Joao Costa,2205359
Joaquim Pires,2205409
Joca Marques,2205458
Jose de Freitas,2205508
Juazeiro do Piaui,2205516
Julio Borges,2205524
Jurema,2205532
Lagoinha do Piaui,2205540
Lagoa Alegre,2205557
Lagoa do Barro do Piaui,2205565
Lagoa de Sao Francisco,2205573
Lagoa do Piaui,2205581
Lagoa do Sitio,2205599
Landri Sales,2205607
Luis Correia,2205706
Luzilandia,2205805
Madeiro,2205854
Manoel Emidio,2205904
Marcolandia,2205953
Marcos Parente,2206001
Massape do Piaui,2206050
Matias Olimpio,2206100
Miguel Alves,2206209
Miguel Leao,2206308
Milton Brandao,2206357
Monsenhor Gil,2206407
Monsenhor Hipolito,2206506
Monte Alegre do Piaui,2206605
Morro Cabeca no Tempo,2206654
Morro do Chapeu do Piaui,2206670
Murici dos Portelas,2206696
Nazare do Piaui,2206704
Nazaria,2206720
Nossa Senhora de Nazare,2206753
Nossa Senhora dos Remedios,2206803
Novo Oriente do Piaui,2206902
Novo Santo Antonio,2206951
Oeiras,2207009
Olho D'Agua do Piaui,2207108
Padre Marcos,2207207
Paes Landim,2207306
Pajeu do Piaui,2207355
Palmeira do Piaui,2207405
Palmeirais,2207504
Paqueta,2207553
Parnagua,2207603
Parnaiba,2207702
Passagem Franca do Piaui,2207751
Patos do Piaui,2207777
Pau D'Arco do Piaui,2207793
Paulistana,2207801
Pavussu,2207850
Pedro II,2207900
Pedro Laurentino,2207934
Nova Santa Rita,2207959
Picos,2208007
Pimenteiras,2208106
Pio IX,2208205
Piracuruca,2208304
Piripiri,2208403
Porto,2208502
Porto Alegre do Piaui,2208551
Prata do Piaui,2208601
Queimada Nova,2208650
Redencao do Gurgueia,2208700
Regeneracao,2208809
Riacho Frio,2208858
Ribeira do Piaui,2208874
Ribeiro Goncalves,2208908
Rio Grande do Piaui,2209005
Santa Cruz do Piaui,2209104
Santa Cruz dos Milagres,2209153
Santa Filomena,2209203
Santa Luz,2209302
Santana do Piaui,2209351
Santa Rosa do Piaui,2209377
Santo Antonio de Lisboa,2209401
Santo Antonio dos Milagres,2209450
Santo Inacio do Piaui,2209500
Sao Braz do Piaui,2209559
Sao Felix do Piaui,2209609
Sao Francisco de Assis do Piaui,2209658
Sao Francisco do Piaui,2209708
Sao Goncalo do Gurgueia,2209757
Sao Goncalo do Piaui,2209807
Sao Joao da Canabrava,2209856
Sao Joao da Fronteira,2209872
Sao Joao da Serra,2209906
Sao Joao da Varjota,2209955
Sao Joao do Arraial,2209971
Sao Joao do Piaui,2210003
Sao Jose do Divino,2210052
Sao Jose do Peixe,2210102
Sao Jose do Piaui,2210201
Sao Juliao,2210300
Sao Lourenco do Piaui,2210359
Sao Luis do Piaui,2210375
Sao Miguel da Baixa Grande,2210383
Sao Miguel do Fidalgo,2210391
Sao Miguel do Tapuio,2210409
Sao Pedro do Piaui,2210508
Sao Raimundo Nonato,2210607
Sebastiao Barros,2210623
Sebastiao Leal,2210631
Sigefredo Pacheco,2210656
Simoes,2210706
Simplicio Mendes,2210805
Socorro do Piaui,2210904
Sussuapara,2210938
Tamboril do Piaui,2210953
Tanque do Piaui,2210979
Teresina,2211001
Uniao,2211100
Urucui,2211209
Valenca do Piaui,2211308
Varzea Branca,2211357
Varzea Grande,2211407
Vera Mendes,2211506
Vila Nova do Piaui,2211605
Wall Ferraz,2211704
Abaiara,2300101
Acarape,2300150
Acarau,2300200
Acopiara,2300309
Aiuaba,2300408
Alcantaras,2300507
Altaneira,2300606
Alto Santo,2300705
Amontada,2300754
Antonina do Norte,2300804
Apuiares,2300903
Aquiraz,2301000
Aracati,2301109
Aracoiaba,2301208
Ararenda,2301257
Araripe,2301307
Aratuba,2301406
Arneiroz,2301505
Assare,2301604
Aurora,2301703
Baixio,2301802
Banabuiu,2301851
Barbalha,2301901
Barreira,2301950
Barro,2302008
Barroquinha,2302057
Baturite,2302107
Beberibe,2302206
Bela Cruz,2302305
Boa Viagem,2302404
Brejo Santo,2302503
Camocim,2302602
Campos Sales,2302701
Caninde,2302800
Capistrano,2302909
Caridade,2303006
Carire,2303105
Caririacu,2303204
Carius,2303303
Carnaubal,2303402
Cascavel,2303501
Catarina,2303600
Catunda,2303659
Caucaia,2303709
Cedro,2303808
Chaval,2303907
Choro,2303931
Chorozinho,2303956
Coreau,2304004
Crateus,2304103
Crato,2304202
Croata,2304236
Cruz,2304251
Deputado Irapuan Pinheiro,2304269
Erere,2304277
Eusebio,2304285
Farias Brito,2304301
Forquilha,2304350
Fortaleza,2304400
Fortim,2304459
Frecheirinha,2304509
General Sampaio,2304608
Graca,2304657
Granja,2304707
Granjeiro,2304806
Groairas,2304905
Guaiuba,2304954
Guaraciaba do Norte,2305001
Guaramiranga,2305100
Hidrolandia,2305209
Horizonte,2305233
Ibaretama,2305266
Ibiapina,2305308
Ibicuitinga,2305332
Icapui,2305357
Ico,2305407
Iguatu,2305506
Independencia,2305605
Ipaporanga,2305654
Ipaumirim,2305704
Ipu,2305803
Ipueiras,2305902
Iracema,2306009
Iraucuba,2306108
Itaicaba,2306207
Itaitinga,2306256
Itapaje,2306306
Itapipoca,2306405
Itapiuna,2306504
Itarema,2306553
Itatira,2306603
Jaguaretama,2306702
Jaguaribara,2306801
Jaguaribe,2306900
Jaguaruana,2307007
Jardim,2307106
Jati,2307205
Jijoca de Jericoacoara,2307254
Juazeiro do Norte,2307304
Jucas,2307403
Lavras da Mangabeira,2307502
Limoeiro do Norte,2307601
Madalena,2307635
Maracanau,2307650
Maranguape,2307700
Marco,2307809
Martinopole,2307908
Massape,2308005
Mauriti,2308104
Meruoca,2308203
Milagres,2308302
Milha,2308351
Miraima,2308377
Missao Velha,2308401
Mombaca,2308500
Monsenhor Tabosa,2308609
Morada Nova,2308708
Moraujo,2308807
Morrinhos,2308906
Mucambo,2309003
Mulungu,2309102
Nova Olinda,2309201
Nova Russas,2309300
Novo Oriente,2309409
Ocara,2309458
Oros,2309508
Pacajus,2309607
Pacatuba,2309706
Pacoti,2309805
Pacuja,2309904
Palhano,2310001
Palmacia,2310100
Paracuru,2310209
Paraipaba,2310258
Parambu,2310308
Paramoti,2310407
Pedra Branca,2310506
Penaforte,2310605
Pentecoste,2310704
Pereiro,2310803
Pindoretama,2310852
Piquet Carneiro,2310902
Pires Ferreira,2310951
Poranga,2311009
Porteiras,2311108
Potengi,2311207
Potiretama,2311231
Quiterianopolis,2311264
Quixada,2311306
Quixelo,2311355
Quixeramobim,2311405
Quixere,2311504
Redencao,2311603
Reriutaba,2311702
Russas,2311801
Saboeiro,2311900
Salitre,2311959
Santana do Acarau,2312007
Santana do Cariri,2312106
Santa Quiteria,2312205
Sao Benedito,2312304
Sao Goncalo do Amarante,2312403
Sao Joao do Jaguaribe,2312502
Sao Luis do Curu,2312601
Senador Pompeu,2312700
Senador Sa,2312809
Sobral,2312908
Solonopole,2313005
Tabuleiro do Norte,2313104
Tamboril,2313203
Tarrafas,2313252
Taua,2313302
Tejucuoca,2313351
Tiangua,2313401
Trairi,2313500
Tururu,2313559
Ubajara,2313609
Umari,2313708
Umirim,2313757
Uruburetama,2313807
Uruoca,2313906
Varjota,2313955
Varzea Alegre,2314003
Vicosa do Ceara,2314102
Acari,2400109
Acu,2400208
Afonso Bezerra,2400307
Agua Nova,2400406
Alexandria,2400505
Almino Afonso,2400604
Alto do Rodrigues,2400703
Angicos,2400802
Antonio Martins,2400901
Apodi,2401008
Areia Branca,2401107
Ares,2401206
Campo Grande,2401305
Baia Formosa,2401404
Barauna,2401453
Barcelona,2401503
Bento Fernandes,2401602
Bodo,2401651
Bom Jesus,2401701
Brejinho,2401800
Caicara do Norte,2401859
Caicara do Rio do Vento,2401909
Caico,2402006
Campo Redondo,2402105
Canguaretama,2402204
Caraubas,2402303
Carnauba dos Dantas,2402402
Carnaubais,2402501
Ceara-Mirim,2402600
Cerro Cora,2402709
Coronel Ezequiel,2402808
Coronel Joao Pessoa,2402907
Cruzeta,2403004
Currais Novos,2403103
Doutor Severiano,2403202
Parnamirim,2403251
Encanto,2403301
Equador,2403400
Espirito Santo,2403509
Extremoz,2403608
Felipe Guerra,2403707
Fernando Pedroza,2403756
Florania,2403806
Francisco Dantas,2403905
Frutuoso Gomes,2404002
Galinhos,2404101
Goianinha,2404200
Governador Dix-Sept Rosado,2404309
Grossos,2404408
Guamare,2404507
Ielmo Marinho,2404606
Ipanguacu,2404705
Ipueira,2404804
Itaja,2404853
Itau,2404903
Jacana,2405009
Jandaira,2405108
Janduis,2405207
Januario Cicco,2405306
Japi,2405405
Jardim de Angicos,2405504
Jardim de Piranhas,2405603
Jardim do Serido,2405702
Joao Camara,2405801
Joao Dias,2405900
Jose da Penha,2406007
